athlete_id,athlete_display_name,team_id,team_name,team_display_name,team_location,athlete_position_name,athlete_position_abbreviation,games_played,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,points,games_started,team_score,opponent_team_score,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,points_per_40,rebounds_per_40,assists_per_40,steals_per_40,blocks_per_40,turnovers_per_40,fg_pct,three_pt_pct,ft_pct,efg_pct,ts_pct,best_ap_rank,is_ap_top25,height_inches,class_year,roster_position,previous_school,is_redshirt,conference,division,team_state,hometown_clean,state_clean,country_clean,year_numeric,is_transfer,team_state_long,is_homestate_transfer,is_hometown_transfer
5313538.0,Maren Maxon,261,Catamounts,Vermont Catamounts,Vermont,Guard,G,12,41.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,0,77.1,46.2,3.4,0.2,0.2,0.4,0.2,0.1,0.2,2.0,2.9,4.9,2.0,1.0,2.0,14.3,0.0,,14.3,14.3,14.0,True,68.0,Freshman,GUARD,,False,America East,I,VT,"WELLS, MAINE",ME,USA,1.0,False,,False,False
5313540.0,Lia Hanson,261,Catamounts,Vermont Catamounts,Vermont,Guard,G,20,111.0,13.0,39.0,6.0,16.0,0.0,0.0,4.0,11.0,15.0,4.0,2.0,3.0,6.0,3.0,32.0,0,70.8,51.0,5.6,1.6,0.8,0.2,0.1,0.2,0.3,11.5,5.4,1.4,0.7,1.1,2.2,33.3,37.5,,41.0,41.0,14.0,True,70.0,Freshman,GUARD,,False,America East,I,VT,"BELLEVUE, WASH",WA,USA,1.0,False,,False,False
5313541.0,Christiana Gordon,261,Catamounts,Vermont Catamounts,Vermont,Guard,G,2,10.0,5.0,6.0,2.0,2.0,1.0,2.0,1.0,5.0,6.0,0.0,1.0,0.0,1.0,1.0,13.0,0,110.5,40.0,5.0,6.5,3.0,0.0,0.5,0.0,0.5,52.0,24.0,0.0,4.0,0.0,4.0,83.3,100.0,50.0,100.0,94.5,14.0,True,71.0,Freshman,GUARD,,False,America East,I,VT,"JOHNSTOWN, PA",PA,USA,1.0,False,,False,False
5313582.0,Selen Yusan,2217,Stags,Fairfield Stags,Fairfield,Forward,F,13,41.0,0.0,8.0,0.0,6.0,0.0,0.0,2.0,5.0,7.0,2.0,1.0,0.0,3.0,10.0,0.0,0,82.5,49.8,3.2,0.0,0.5,0.2,0.1,0.0,0.2,0.0,6.8,2.0,1.0,0.0,2.9,0.0,0.0,,0.0,0.0,11.0,True,73.0,Freshman,,,False,MAAC,I,CT,"ISTANBUL, TURKEY",,TURKEY,1.0,False,,False,False
5313584.0,Christina Pham,2217,Stags,Fairfield Stags,Fairfield,Guard,G,27,370.0,48.0,131.0,42.0,112.0,4.0,6.0,2.0,12.0,14.0,32.0,11.0,0.0,27.0,24.0,142.0,1,75.9,58.3,13.7,5.3,0.5,1.2,0.4,0.0,1.0,15.4,1.5,3.5,1.2,0.0,2.9,36.6,37.5,66.7,52.7,53.1,11.0,True,67.0,Freshman,GUARD,,False,MAAC,I,CT,"BOSTON, MASS",MA,USA,1.0,False,,False,False
5313585.0,Milou van Vliet,2217,Stags,Fairfield Stags,Fairfield,Forward,F,23,324.0,34.0,79.0,9.0,38.0,4.0,12.0,10.0,34.0,44.0,28.0,10.0,7.0,19.0,22.0,81.0,4,74.7,58.7,14.1,3.5,1.9,1.2,0.4,0.3,0.8,10.0,5.4,3.5,1.2,0.9,2.3,43.0,23.7,33.3,48.7,48.1,11.0,True,72.0,Freshman,,,False,MAAC,I,CT,"BARENDRECHT, NETHERLANDS",,NETHERLANDS,1.0,False,,False,False
5313586.0,Marcayla Johnson,239,Bears,Baylor Bears,Baylor,Guard,G,32,565.0,53.0,149.0,6.0,38.0,29.0,53.0,19.0,52.0,71.0,23.0,14.0,5.0,33.0,26.0,141.0,2,71.4,60.0,17.7,4.4,2.2,0.7,0.4,0.2,1.0,10.0,5.0,1.6,1.0,0.4,2.3,35.6,15.8,54.7,37.6,40.9,6.0,True,,Freshman,GUARD,,False,Big 12,I,TX,"TULSA, OKLA",OK,USA,1.0,False,Texas,False,False
5313600.0,Amaya Williams,9,Sun Devils,Arizona State Sun Devils,Arizona State,Guard,G,35,601.0,49.0,131.0,7.0,39.0,22.0,38.0,16.0,38.0,54.0,66.0,25.0,6.0,51.0,51.0,127.0,3,66.2,60.5,17.2,3.6,1.5,1.9,0.7,0.2,1.5,8.5,3.6,4.4,1.7,0.4,3.4,37.4,17.9,57.9,40.1,43.0,10.0,True,68.0,Freshman,GUARD,,False,Pac-12,I,AZ,"MISSION VIEJO, CALIF",CA,USA,1.0,False,Arizona,False,False
5313601.0,Martina Fantini,9,Sun Devils,Arizona State Sun Devils,Arizona State,Center,C,31,246.0,24.0,50.0,0.0,1.0,3.0,11.0,26.0,35.0,61.0,10.0,12.0,10.0,29.0,40.0,51.0,0,66.6,60.4,7.9,1.6,2.0,0.3,0.4,0.3,0.9,8.3,9.9,1.6,2.0,1.6,4.7,48.0,0.0,27.3,48.0,46.5,10.0,True,75.0,Freshman,CENTER,,False,Pac-12,I,AZ,"FLORENCE, ITALY",,ITALY,1.0,False,Arizona,False,False
5313602.0,Deborah Davenport,9,Sun Devils,Arizona State Sun Devils,Arizona State,Guard,G,35,498.0,46.0,96.0,7.0,19.0,8.0,16.0,36.0,89.0,125.0,15.0,24.0,21.0,30.0,42.0,107.0,2,66.2,60.5,14.2,3.1,3.6,0.4,0.7,0.6,0.9,8.6,10.0,1.2,1.9,1.7,2.4,47.9,36.8,50.0,51.6,51.9,10.0,True,74.0,Junior,GUARD,Northwest Florida State College,True,Pac-12,I,AZ,"CINCINNATI, OHIO",OH,USA,3.0,True,Arizona,False,False
